product_name,comment_date,account_name,comment,rating,comment_type,taste,texture,price,similarity_with_original_meat_product ,cooking_complexity,cooking_time,insights_on_improvements_on_taste,insights_on_improvement_on_texture,commen_about_taste,comment_about_texture,chance_of_repurchase,features_mentioned ,website
What the cluck,23/07/2021,vegpledge,"Wow this was soooo tasty! The texture is just like #chicken, the flavour is fantasticand it takes hardly any time to cook! £1 cheaper than This chicken pieces in #sainsburys at the moment and in my opinion much more realistic and yummy. This will now be my go to #veganchicken - I’m very impressed and could eat this every day! ",4.5,positive,good,good,low,high,,low,FALSE,FALSE,fanstastic,just like chicken,TRUE,"taste, texture, price, similarity, cooking time",https://www.abillion.com/products/the-vegetarian-butcher-what-the-cluck-10059146
What the cluck,19/05/2020,jamesallnutt,"This is a great “chicken” alternative from #TheVegetarianButcher that I picked up from #Coop in the UK. It’s chilled and quick and easy to cook - goes well in a bagel, pitta, wrap - anywhere you’d normally use Chicken on a non-vegan diet. Taste wise it’s nice! Browns and crisps up nicely and doesn’t have a soya or heavy chemical taste. Would recommend to people trying to introduce others to vegan options",4.5,positive,good,good,,,easy,low,FALSE,FALSE,Nice. Doesn't have a soya or heavy chemical taste,Browns and crisps up nicely,,"taste, texture, cooking complexity, cooking time",https://www.abillion.com/products/the-vegetarian-butcher-what-the-cluck-10059146
What the cluck,10/06/2022,nickyv,"This is goooood, on a par with the best chicken alternatives in South Africa. There is firmness, taste - quite mellow, creamy.",5.0,positive,good,good,,,,,FALSE,FALSE,There is taste,"firminess, quite mellow, creamy",,"taste, texture",https://www.abillion.com/products/the-vegetarian-butcher-what-the-cluck-10059146
What the cluck,27/02/2021,supersupergirl,"The vegetarian butcher as the same suggests offers a vegetarian range of meat alternatives such as willies, burgers, meatballs and mock chicken. While the rest are vegetarian, the mock chicken is vegan. I got my hands on a free sample Thanks to their sponsored ad on Facebook which was collected at Coop. The voucher is used at designated stores and you have to use it within 10 minutes of activation which means you can only activated one you are at the store and have the product in your hands otherwise the voucher will become useless. Anyway, I found the too chewy but tasted good in curry sauce because the curry sauce was good. Still to try are the meatballs which I haven't tried yet.",3.0,neutral,good,bad,,,,,FALSE,TRUE,Tasted good in curry sause because de curry sauce was good,Too chewy,,"taste, texture",https://www.abillion.com/products/the-vegetarian-butcher-what-the-cluck-10059146
What the cluck,17/07/2021,hollya113,"I absolutely love these chicken pieces, they are so versatile! Here I fried them with some onion, mushroom and garlic and put them in some vegan Mayo with herbs and paprika. Then laid on a baguette some salad and raw yellow pepper and put the chicken mix on top. So delicious! ",5.0,positive,good,,,,,,FALSE,FALSE,So delicious,,,taste,https://www.abillion.com/products/the-vegetarian-butcher-what-the-cluck-10059146
What the cluck,15/07/2021,thespecialk8,"Great product, yummy but very salty, I only bought because it was on offer from £3.30 down to £2.",3.5,positive,good,,high,,,,TRUE,FALSE,Yummy but very salty,,,"taste, price",https://www.abillion.com/products/the-vegetarian-butcher-what-the-cluck-10059146
What the cluck,01/06/2021,ragamuffin,"Found in Sainsbury's. I absolutely love this chicken, it's so convincing and holds its texture no matter how you cook it? Stick in a curry and slow cook it for a few hours and it'll come out intact and delicious! At £3 a pack though I wish it was just a liiiiittle bit cheaper , but it's not enough to put me off buying it by any means",4.5,positive,,good,high,,,,FALSE,FALSE,,Holds its texture no matter how you cook it,TRUE,"texture, price",https://www.abillion.com/products/the-vegetarian-butcher-what-the-cluck-10059146
What the cluck,07/02/2022,doped,"Ooo these were really good!! Had these cut up small ish in a homemade chowmein with wholewheat noodles. Can’t comment on the taste alone since I marinated them, but they turned out amazing! The texture was great a bit chewy but not too much. Quite filling and quite healthy. You don’t get much in a pack though for £3.",4.0,positive,,good,high,,,,FALSE,TRUE,,a bit chewy,,"texture, price",https://www.abillion.com/products/the-vegetarian-butcher-what-the-cluck-10059146
What the cluck,25/11/2022,mtp,"Very simple and easy to cook if you’re after a quick addition to any meal.Packet says pan fry in 2 minutes I think, might need a bit longer if you don’t want it to taste too rubbery. I did really enjoy it though, and what I didn’t use yesterday I have on a sandwich today",4.0,positive,,bad,,,easy,low,FALSE,TRUE,,needs more time than what it is indicated on the packege if you don't want it to taste too rubbery,,"texture, cooking complexity, cooking time",https://www.abillion.com/products/the-vegetarian-butcher-what-the-cluck-10059146
What the cluck,04/05/2021,janxr,"An excellent meat substitute - great taste & texture, but with none of the risk of food poisoning of actual chicken! Soya based and similar to Oumph! 'The Chunk' but cooks more quickly as sold refrigerated rather than frozen, it browns nicely & doesn't fall apart in sauces. Perfect in curries, stir fries, burritos etc. A bit expensive at £2.75 for 160g (Tesco), but definitely worth getting especially when on offer.",4.5,positive,good,good,high,high,,low,FALSE,FALSE,great taste,great texture. it browns nicely and doesn't fall apart in sauces,TRUE,"taste, texture, price, similarity, cooking time",https://www.abillion.com/products/the-vegetarian-butcher-what-the-cluck-10059146
What the cluck,20/10/2021,nobloodnotears,"Really like these, I use them in any dish I would have previously added chicken too. Great in curries, with pasta sauces, casseroles . Great texture, nobody would guess it wasn’t chicken",4.5,positive,,good,,high,,,FALSE,FALSE,,great texture,,"texture, similarity",https://www.abillion.com/products/the-vegetarian-butcher-what-the-cluck-10059146
What the cluck,05/10/2021,miyukudo,"Chicken-style soy-based chunks. It’s less realistic than THIS Isn’t Chicken but has no soy aftertaste.Very versatile and goes amazing with teriyaki sauce, BBQ sauce, etc.",5.0,positive,good,,,medium,,,FALSE,FALSE,it has no soy after taste,,,"taste, similarity",https://www.abillion.com/products/the-vegetarian-butcher-what-the-cluck-10059146
What the cluck,28/02/0221,alicesabrina,My mum put these 'chicken' pieces in a homemade pie & wow - I had to double check the packet to make sure it wasn't actual chicken meat because it was so realistic. Brilliant texture & flavour. I definitely recommend. ,4.5,positive,good,good,,high,,,FALSE,FALSE,brilliant,brilliant,,"taste, texture, similarity",https://www.abillion.com/products/the-vegetarian-butcher-what-the-cluck-10059146
What the cluck,24/10/2020,katelouisepowell,"Really excellent mock chicken, it’s up there with the Oumph! stuff in terms of texture and how easy to is to cook. It’s pretty pricey for how much you get though, so I can’t give it a full 5 stars",4.5,positive,,good,high,,easy,,FALSE,FALSE,,it’s up there with the Oumph! stuff in terms of texture,,"texture, price, cooking complexity",https://www.abillion.com/products/the-vegetarian-butcher-what-the-cluck-10059146
What the cluck,18/12/2021,trailrunningman,I'm not a fan of fake meat but I enjoyed the curry my daughter made with these chucks. Quick to cook with a pleasant texture. ,3.0,positive,,good,,,,low,FALSE,FALSE,,pleasant texture,,"texture, cooking time",https://www.abillion.com/products/the-vegetarian-butcher-what-the-cluck-10059146
What the cluck,28/10/2021,sarahburland,"My go to chicken alternative. Close in taste and texture, 100% recommend ",4.5,positive,good,good,,high,,,FALSE,FALSE,close in taste to chicken,close in texture to chicken,,"taste, texture, similarity",https://www.abillion.com/products/the-vegetarian-butcher-what-the-cluck-10059146
What the cluck,23/11/2022,aurabee,"Made this in a Chinese style rice with hoisin sauce, soy sauce, vegetable rice, onion,mushroom and peas. Really enjoyable and a nice change to tofu. Texture and taste was good, just needs to be less expensive because you don’t get a lot in the box, just enough to serve 3 people. Normally it’s £3 but often on offer for £2.50. Would definitely buy again to use in other recipes, looking forward to making a Thai dish!",4.5,positive,good,good,high,,,,FALSE,FALSE,good,good,TRUE,"taste, texture, price",https://www.abillion.com/products/the-vegetarian-butcher-what-the-cluck-10059146
What the cluck,15/08/2021,appleappleamanda,Normally out of my budget (over £3) but managed to snag it reduced. It looks convincingly like chicken but I found the taste and texture unappealing. Not a repeat purchase for me!,2.0,negative,bad,bad,high,low,,,TRUE,TRUE,unappealing,unappealing,FALSE,"taste, texture, price, similarity",https://www.abillion.com/products/the-vegetarian-butcher-what-the-cluck-10059146
What the cluck,02/12/2022,bryanvegan,"Very nice chunks on soy, perfect texture and easy to add in many different dishes",4.5,positive,,good,,,,,FALSE,FALSE,,perfect texture,,texture,https://www.abillion.com/products/the-vegetarian-butcher-what-the-cluck-10059146
What the cluck,06/03/2021,bigbird,Good chicken substitute. Nothing fancy or particularly original but tasty,4.5,positive,good,,,high,,,FALSE,FALSE,tasty,,,"taste, similarity",https://www.abillion.com/products/the-vegetarian-butcher-what-the-cluck-10059146
What the cluck,07/11/2021,jennieelouise,"I could have this chicken in every dish and I didn’t even like chicken when I was a meat eater. It is the bomb. Chicken Mayo sarnies, curries, stir fry, sushi, fajitas, stews…you name it this is perfect in any dish. We always have these in the fridge and freezer ",5.0,positive,good,,,,,,FALSE,FALSE,perfect at any dish,,TRUE,taste,https://www.abillion.com/products/the-vegetarian-butcher-what-the-cluck-10059146
What the cluck,17/03/2021,veganbakesandbites,"My new go-to vegan alternative to chicken! This cooks perfectly to a nice golden colour too, it doesn't turn to mush when you eat it....tmi I know but it's true! I used this to make Vegan 'No Chicken' Malay Rice and it was perfect. P.s If you want an easy, budget-friendly vegan meal to cook it in, I shared the recipe on my instagram recently!",5.0,positive,,good,low,,easy,,FALSE,FALSE,,it doesn't turn to mush when you eat it,TRUE,"texture, price, cooking complexity",https://www.abillion.com/products/the-vegetarian-butcher-what-the-cluck-10059146
What the cluck,20/10/0202,travelerafit,"This brand has super yummy options and I don’t miss meat at all cause I never really liked it, but I tried this to make some dish and because my bf does like meat but became vegan last months. It’s amazing!!! Now we eat once a week. We use for tacos, sándwiches, Indian food",4.0,positive,good,,,high,,,FALSE,FALSE,super yummy,,TRUE,"taste, similarity",https://www.abillion.com/products/the-vegetarian-butcher-what-the-cluck-10059146
What the cluck,16/03/2021,thedappervegan,"Vegan meat has come along way. case in point : I consider this 'ok', 'prettygood' when this would have blown the mind of a vegan even 15 years ago. It's meaty, juicy and fairly chickeny. Better spiced or put in sauce than eaten fried with a bit of salt like I did.",4.0,neutral,neutral,good,,medium,,,TRUE,FALSE,Better spiced or put in sauce than eaten fried with a bit of salt like I did.,"meaty, juicy",,"taste, texture, similarity",https://www.abillion.com/products/the-vegetarian-butcher-what-the-cluck-10059146
What the cluck,24/06/2021,sandra666,"These remind me of chicken thigh in texture and I love the flavour too. These fry nice and crispy. Perfect for a curry, chicken and leek pie or even uncooked for chicken Mayo. Pricey.",5.0,positive,good,good,high,high,,,FALSE,FALSE,i love the flavour,These remind me of chicken thigh in texture. These fry nice and crispy,,"taste, texture, price, similarity",https://www.abillion.com/products/the-vegetarian-butcher-what-the-cluck-10059146
What the cluck,04/07/2021,motorway54,Nice texture and a really nice taste. Can be used as part of a Sunday dinner or with salad and mayo for a really good mid-week meal.,4.0,positive,good,good,,,,,FALSE,FALSE,really nice ,nice texture,,"taste, texture",https://www.abillion.com/products/the-vegetarian-butcher-what-the-cluck-10059146
What the cluck,07/12/2021,nikki-cola,"Great vegan ""chicken"" strips, I've used these in fajitas, ""chicken"" dinners, pizza's, salads, they're so versatile and taste really good",5.0,positive,good,,,,,,FALSE,FALSE,really good,,,taste,https://www.abillion.com/products/the-vegetarian-butcher-what-the-cluck-10059146
What the cluck,25/11/2019,warmhealer,"Chicken pieces! We didn’t cook these as recommended, we made them into nuggets using the fryer. They were delicious! We also made our own chips & I made a lemon-dressed salad with peppers. Super yummy scroll for the packaging and raw view!",4.0,positive,good,,,,,,FALSE,FALSE,delicious,,,taste,https://www.abillion.com/products/the-vegetarian-butcher-what-the-cluck-10059146
What the cluck,05/03/2021,ixhxle,"nice very chicken like texture, when i first cooked it in noodle soup i didn’treally like the flavour but have had it a couple of times in wraps and had a different opinion and found it really nice ",5.0,positive,good,good,,high,,,FALSE,FALSE,really nice ,chicken like texture,,"taste, texture, similarity",https://www.abillion.com/products/the-vegetarian-butcher-what-the-cluck-10059146
What the cluck,10/01/2022,otakugary,"My partner has really been supportive of my vegan lifestyle, so much so she’s trying out veganuary! Surprised me with a stir fry today! Thoroughly enjoyed and want to experiment with other curry dishes.",4.0,positive,,,,,,,FALSE,FALSE,,,TRUE,,https://www.abillion.com/products/the-vegetarian-butcher-what-the-cluck-10059146
What the cluck,07/07/2021,roxyvulpes,"Can’t get enough of these. Season, bake and eat for a healthy snack, add to stirfry’s, curry sauces and casseroles, delicious",5.0,positive,good,,,,,,FALSE,FALSE,delicious,,TRUE,taste,https://www.abillion.com/products/the-vegetarian-butcher-what-the-cluck-10059146
What the cluck,12/11/2021,veganfooduk,"Very good substitute for chicken, nice taste. I put it on some pizza ripped up and it had a nice crispness to it. Would be good in curry’s or salads",5.0,positive,good,good,,high,,,FALSE,FALSE,nice,nice crispness,,"taste, texture, similarity",https://www.abillion.com/products/the-vegetarian-butcher-what-the-cluck-10059146
What the cluck,15/11/2020,robynellen,"Really amazing textured ""chicken"" chunks. They look pretty realistic too. Not too chewy or rubbery or slimy like some other brands. Only downside is how expensive they are for what you get. There's 165g and they're £3+ from Co-op. Glad I tried them and would get again but I'll look around at other branded ""chicken"" pieces.",4.5,positive,,good,high,high,,,FALSE,FALSE,,really amazing,TRUE,"texture, similarity",https://www.abillion.com/products/the-vegetarian-butcher-what-the-cluck-10059146
What the cluck,11/01/2021,gembean,"I use these every now and then for stir fries and curries. Great texture and taste, they absorb flavour really well. Just need to chuck into a curry or fry for a few minutes. Easy!",4.5,positive,good,good,,,easy,low,FALSE,FALSE,great,great,TRUE,"taste, texture, cooking complexity, cooking time",https://www.abillion.com/products/the-vegetarian-butcher-what-the-cluck-10059146
What the cluck,22/09/2021,plantifulrachel,The best vegan chicken I have tried. Very impressive. I look forward to a time when these type of product can be made cheaper in place of meat.,5.0,positive,,,high,high,,,FALSE,FALSE,,,,"price, similarity",https://www.abillion.com/products/the-vegetarian-butcher-what-the-cluck-10059146
What the cluck,24/05/2022,chiariconta,"I’ve been quite impressed by this no-chicken. I used it in a pasta sauce, frying it before on a pan and I will buy it again!! I also really like the font on the packaging! ",5.0,positive,,,,,,,FALSE,FALSE,,,TRUE,,https://www.abillion.com/products/the-vegetarian-butcher-what-the-cluck-10059146
What the cluck,11/04/2021,ziabeba,"I like the texture, it’s very similar to chicken bites and it’s good in curries and with veggies and cous cous. I like it a lot",4.5,positive,,good,,high,,,FALSE,FALSE,,very similar to chicken bites,,"texture, similarity",https://www.abillion.com/products/the-vegetarian-butcher-what-the-cluck-10059146
What the cluck,29/03/2022,lucr3ziagalli,"I wasn’t a fun of chicken before but this tasted amazing! Approved by my omnivore flatmates as well!! To use in currys, as filling for burritos or idk",4.5,positive,good,,,high,,,FALSE,FALSE,amazing,,,"taste, similarity",https://www.abillion.com/products/the-vegetarian-butcher-what-the-cluck-10059146
What the cluck,08/05/2022,fruitbear,"Step dad made these into spicy chicken tika pieces for his homemade pizza and ohmy ! So tasty, so good !!",4.0,positive,good,,,,,,FALSE,FALSE,tasty. good,,,taste,https://www.abillion.com/products/the-vegetarian-butcher-what-the-cluck-10059146
What the cluck,21/06/2020,londonveganista,"Pricey for a relatively small amount but hands down my favourite ‘chicken’. It doesn’t dry out when cooked, has a lovely flavour without the need for seasoning but also holds any added flavour well. The texture is soft and flakes rather than being a very dense meaty type.",4.5,positive,good,good,high,,,,FALSE,FALSE,lovely flavour without the need for seasoning,soft,,"taste, texture, price",https://www.abillion.com/products/the-vegetarian-butcher-what-the-cluck-10059146
What the cluck,21/03/2022,thehorrorherbivore,"One of the nicest vegan chicken strip products I've tried (I'd probably say the Taste and Glory ones are my favourite). Enjoyed the chewy texture and the flavour is good, if a little subtle. Great bonus that it's fortified with B12, just wish there were more strips in a pack",4.0,positive,good,good,,,,,FALSE,FALSE,"flavour is good, if a little subtle",enjoyed the chewy texture,,"taste, texture",https://www.abillion.com/products/the-vegetarian-butcher-what-the-cluck-10059146
What the cluck,20/03/2022,keinengel,I've seen this advertised everywhere so when I saw them in my local Tesco I jumped at the chance to try it. Cheaper than other mock chicken I buy put I found this extremely salty. Id probably not buy these again.,5.0,negative,bad,,low,,,,TRUE,FALSE,extremely salty,,,"taste, price",https://www.abillion.com/products/the-vegetarian-butcher-what-the-cluck-10059146
What the cluck,19/01/2022,natalinkal,Not that I would miss eating chicken... but it’s sometimes nice to add some meat alternatives for variety and as a source of protein. This was excellent! I loved the slightly chewy texture and also no weird smell. Will buy again,4.5,positive,,good,,,,,FALSE,FALSE,,I loved the slightly chewy texture,TRUE,texture,https://www.abillion.com/products/the-vegetarian-butcher-what-the-cluck-10059146
What the cluck,21/07/2020,seaweedvibes,"Amazing! Texture is so realistic so ideal for someone transitioning. Perfect tikka masal was made.Taste is nice, not too strong but weirdly also a lot like actual chicken.",5.0,positive,good,good,,high,,,FALSE,FALSE,"nice, not too strong but weirdly also a lot like actual chicken",realistic,,"taste, texture, similarity",https://www.abillion.com/products/the-vegetarian-butcher-what-the-cluck-10059146
What the cluck,21/04/2020,laurenjade,Amazing taste! I made a thai yellow curry with this and it didn’t disappoint even the texture was perfect!,4.0,positive,good,good,,,,,FALSE,FALSE,amazing,perfect,,"taste, texture",https://www.abillion.com/products/the-vegetarian-butcher-what-the-cluck-10059146
What the cluck,09/10/2021,meganthevegetable,This is expensive (£3) and you don’t get much. But it is a decent substitutefor chicken though.,3.0,neutral,,,high,high,,,FALSE,FALSE,,,,"price, similarity",https://www.abillion.com/products/the-vegetarian-butcher-what-the-cluck-10059146
What the cluck,09/04/2022,mrsanders93,"Very tender bits of no chicken, in a crowded market these stand out and they taste great. 10/10",4.0,positive,good,good,,,,,FALSE,FALSE,great,tender,,"taste, texture",https://www.abillion.com/products/the-vegetarian-butcher-what-the-cluck-10059146
What the cluck,29/03/2021,stephh,My sister made these in fajitas for us - a lil rubbery but I think that might just have been her cooking they took on the flavours really well though! I think I’d happily buy them again if they weren’t so expensive,4.0,positive,good,bad,high,,,,FALSE,TRUE,took on the flavours really well,rubbery ,FALSE,"taste, texture, price",https://www.abillion.com/products/the-vegetarian-butcher-what-the-cluck-10059146
What the cluck,04/08/2021,poppyveggirl,Ideal for adding to your favourite dishes. Takes on seasoning quite well. I broke my pieces up and you can freeze. I got it on offer but at £3.30 it's a tad pricey. But worth paying for the ethics behind the idea.,5.0,positive,good,,high,,,,FALSE,FALSE,takes on seasoning quite well,,,"taste, price",https://www.abillion.com/products/the-vegetarian-butcher-what-the-cluck-10059146
What the cluck,26/03/2021,rebeccag,"This stuff is fantastic!! I do think it's too expensive, but they've got some good coupons online and discounts in supermarkets occasionally. The texture is amazing, taste is great and looks really like chicken!",4.0,positive,good,good,high,high,,,FALSE,FALSE,great,amazing,,"taste, texture, price, similarity",https://www.abillion.com/products/the-vegetarian-butcher-what-the-cluck-10059146
What the cluck,16/09/2021,annaleitner,"Love this - probably my favourite chicken alternative. Good taste, good texture - like kinda flakey layers ahah - nice kinda chew to it. So so good when fried or put in the air fryer!!!!",5.0,positive,good,good,,,,,FALSE,FALSE,good,good. Nice kinda chew to it,,"taste, texture",https://www.abillion.com/products/the-vegetarian-butcher-what-the-cluck-10059146
What the cluck,03/06/2022,elewink24,"I had high expectations on this product, but I found it to be just about average. The taste is quite bland and the consistency a but gummy. Works well in a salad, not so great when eaten alone.",4.0,negative,bad,bad,,,,,TRUE,TRUE,bland,gummy,,"taste, texture",https://www.abillion.com/products/the-vegetarian-butcher-what-the-cluck-10059146
What the cluck,18/02/2022,esmehart,I was a bit disappointed with this ‘chicken’ as so many people recommended it. I found it very rubbery and chewy. Might have just been my shit cooking but I won’t be buying again. £2.95 from Tesco,2.0,negative,,bad,,,,,FALSE,TRUE,,rubbery and chewy,FALSE,texture,https://www.abillion.com/products/the-vegetarian-butcher-what-the-cluck-10059146
What the cluck,24/01/2021,devon0,"Had these in a homemade chicken chow mein! They’re amazing, my only criticism is I wish the portion was bigger for the price.",3.5,positive,,,high,,,,FALSE,FALSE,,,,price,https://www.abillion.com/products/the-vegetarian-butcher-what-the-cluck-10059146
What the cluck,26/04/2021,pointsofellie,"These are decent! A bit chewy but they taste pretty meaty. Not exactly like chicken,but it's a nice savoury flavour.",4.0,neutral,good,bad,,low,,,FALSE,TRUE,savoury,chewy,,"taste, texture",https://www.abillion.com/products/the-vegetarian-butcher-what-the-cluck-10059146
What the cluck,16/08/2020,hgc,Bravo seriously! The texture is just like chicken and the taste it is scarily good.,4.5,positive,good,good,,high,,,FALSE,FALSE,scarily good,just like chicken,,"taste, texture, similarity",https://www.abillion.com/products/the-vegetarian-butcher-what-the-cluck-10059146
What the cluck,02/06/2021,shmambam,"Not Keen on these, they are too meaty for me",3.0,negative,,,,high,,,FALSE,FALSE,,,,similarity,https://www.abillion.com/products/the-vegetarian-butcher-what-the-cluck-10059146
What the cluck,16/06/2021,klavina,Another great meat alternative. Great texture and taste.,4.5,positive,good,good,,,,,FALSE,FALSE,great,great,,"taste, texture",https://www.abillion.com/products/the-vegetarian-butcher-what-the-cluck-10059146
What the cluck,28/02/2021,livingoncress,"I got this on a free voucher, the flavour was amazing! I added it to a stir fry and it was perfect! Had a 'meaty' texture and even the kiddos enjoyed it... winner!",5.0,positive,good,good,,high,,,FALSE,FALSE,amazing,meaty,,"taste, texture, similarity",https://www.abillion.com/products/the-vegetarian-butcher-what-the-cluck-10059146
What the cluck,12/02/2021,inowa,Great achieved texture and flavour. You can get it at any big shop or maybe your local Health Shop ( depending on the size of your town),4.0,positive,good,good,,,,,FALSE,FALSE,great,great,,"taste, texture",https://www.abillion.com/products/the-vegetarian-butcher-what-the-cluck-10059146
Crispy chickimicki burgers,21/10/2022,snappyj,It's great to be able to have a crispy and delicious chic burger to go with fries and some beans on a lazy evening. The flavor profile is delicious. And the texture is perfect. Thanks to the VB!!,5.0,positive,good,good,,,,,FALSE,FALSE,delicious,perfect,,"taste, texture",https://www.abillion.com/products/the-vegetarian-butcher-crispy-chickimicki-burger-10248651
Crispy chickimicki burgers,19/10/2022,sotofu,"The chicken burgers get nice and crispy in the pan even with a little oil. I think they taste good. Well, they don't taste particularly spicy or intense, but chicken doesn't have a strong taste of its own. Delicious!",4.0,positive,good,good,,,,,FALSE,FALSE,good,crispy,,"taste, texture",https://www.abillion.com/products/the-vegetarian-butcher-crispy-chickimicki-burger-10248651
