product_name,comment_date,account_name,comment,rating,comment_type,taste,texture,price,similarity_with_original_meat_product ,cooking_complexity,cooking_time,insights_on_improvements_on_taste,insights_on_improvement_on_texture,commen_about_taste,comment_about_texture,chance_of_repurchase,features_mentioned ,website
Crispy chickimicki burgers,1/10/2022,angelica90,Yummy!! I was very curious to try this brand since there's a lot of talk about it... really good and crunchy!! Price a bit high though,5.0,positive,good,good,high,,,,FALSE,FALSE,good,crunchy,,"taste, texture, price",https://www.abillion.com/products/the-vegetarian-butcher-crispy-chickimicki-burger-10248651
Crispy chickimicki burgers,14/10/2022,tzschoppi,"In terms of consistency, the interior is fibrous and soft. Unfortunately the breading comes off a lot off quickly. I also find them to be quite greasy. I prepared the second one in the air fryer. The breading definitely stuck better with this one. However, I just miss the taste here too. The taste of both patties is simply far too neutral and boring. Furthermore, the packaging suggests a definitely thicker product.",3.0,negative,bad,bad,,,,,TRUE,TRUE,The taste is simply far too neutral and boring,The interior is fibrous and soft. Unfortunately the breading comes off a lot off quickly.,,"taste, texture",https://www.abillion.com/products/the-vegetarian-butcher-crispy-chickimicki-burger-10248651
Crispy chickimicki burgers,11/08/2022,veganbypauline,"I don't get the hype about this brand or product. It tasted like chicken somehow and the texture was fine, but it wasn't “tasty”",2.0,negative,bad,good,,high,,,TRUE,FALSE,it wasn't tasty,the texture was fine,,"taste, texture, similarity",https://www.abillion.com/products/the-vegetarian-butcher-crispy-chickimicki-burger-10248651
Crispy chickimicki burgers,25/11/2022,anasoto,"The #veganchicken burgers are really good, tasty and juicy. This is the brand that Burger King uses for their vegan and vegetarian burgers and sandwiches. I want to try more products from this brand. This one was for free as a promotion in #rewe , the marketing strategy worked really good!",4.5,positive,good,good,,,,,FALSE,FALSE,tasty,juicy,TRUE,"taste, texture",https://www.abillion.com/products/the-vegetarian-butcher-crispy-chickimicki-burger-10248651
Crispy chickimicki burgers,02/01/2022,marmariana,Vegetable burger with good chicken. Texture and taste are similar to chicken. Burger is enriched in fer and vitamins B12. Livery in 2 units of 80 grams each. Really appreciated. I bought it for 3 euros at Noz. ,5.0,positive,good,good,,high,,,FALSE,FALSE,similar to chicken,similar to chicken,,"taste, texture, similarity",https://www.abillion.com/products/the-vegetarian-butcher-crispy-chickimicki-burger-10248651
Crispy chickimicki burgers,19/06/2022,bluesoul,"Delicious vegan soy protein-based ""chicken"" burger with a crispy breading. Great texture and authentic taste. Contains added vitamin b12 and iron. Price €1.49.",3.5,positive,good,good,,,,,FALSE,FALSE,authentic,great,,"taste, texture",https://www.abillion.com/products/the-vegetarian-butcher-crispy-chickimicki-burger-10248651
Crispy chickimicki burgers,08/03/2022,happy4paws,Like the mc chicken from McDonald's. Has a proud price tho. 2 Patty's €3.99 but the taste is really good! Will buy it again and 100% recommended.,5.0,positive,good,,high,high,,,FALSE,FALSE,really good,,TRUE,"taste, price, similarity",https://www.abillion.com/products/the-vegetarian-butcher-crispy-chickimicki-burger-10248651
Crispy chickimicki burgers,13/03/2022,jeremyk,"Delicious vegan chicken burger, goes great with vegan cheese and sriracha mayo",4.0,positive,good,,,,,,FALSE,FALSE,delicious,,,taste,https://www.abillion.com/products/the-vegetarian-butcher-crispy-chickimicki-burger-10248651
Crispy chickimicki burgers,17/03/2022,els17,"This is amazing. It tastes like a real chicken burger and even my non-vegan boyfriend prefers it over real chicken! When we order out and this is on the menu, he always gets this instead of the normal chicken, so that's saying a lot.",5.0,positive,good,,,high,,,FALSE,FALSE,tastes like a real chicken,,,"taste, similarity",https://www.abillion.com/products/the-vegetarian-butcher-crispy-chickimicki-burger-10248651
Crispy chickimicki burgers,03/08/2022,saechsine,Hmmm. Very tasty with the crispy breading. Really reminds me of chicken burgers or nuggets. I would buy again.,4.5,positive,good,good,,high,,,FALSE,FALSE,tasty,crispy breading,TRUE,"taste, texture, similarity",https://www.abillion.com/products/the-vegetarian-butcher-crispy-chickimicki-burger-10248651
Crispy chickimicki burgers,09/04/2022,fredoomfortheanimals,Good option at the supermarket. Two come and they are empanadas. There are also other things not Empanadas.,5.0,positive,,,,,,,FALSE,FALSE,,,,,https://www.abillion.com/products/the-vegetarian-butcher-crispy-chickimicki-burger-10248651
Crispy chickimicki burgers,26/12/2021,kind-cakes-leipzig,"Love love love this chick patty. Perfectly crispy, perfectly tasty. Def our go to",5.0,positive,good,good,,,,,FALSE,FALSE,tasty,crispy,,"taste, texture",https://www.abillion.com/products/the-vegetarian-butcher-crispy-chickimicki-burger-10248651
Crispy chickimicki burgers,20/03/2022,plantsrock,This burger is amazing. Tastes very chicken-like and is super crunchy,4.5,positive,good,good,,high,,,FALSE,FALSE,tastes very chicken-like,super crunchy,,"taste, texture, similarity",https://www.abillion.com/products/the-vegetarian-butcher-crispy-chickimicki-burger-10248651
Crispy chickimicki burgers,09/06/2022,sotofu,"The burger patties become very crispy in the pan and taste a bit subtle on their own, but chicken It doesn't have a strong taste of its own, so the product is quite authentic. They're also pretty tasty on a burger with sauce.",4.0,positive,good,good,,high,,,TRUE,FALSE,taste a bit subtle on their own,crispy,,"taste, texture, similarity",https://www.abillion.com/products/the-vegetarian-butcher-crispy-chickimicki-burger-10248651
Crispy chickimicki burgers,15/06/2022,anitxu,"I like more than the other Hamburguesas ""rojas"" from the same brand. It is very reminiscent of chicken but without cruelty.",5.0,positive,,,,high,,,FALSE,FALSE,,,,similarity,https://www.abillion.com/products/the-vegetarian-butcher-crispy-chickimicki-burger-10248651
Crispy chickimicki burgers,01/01/2022,domingasvegan,Delicious. Good texture and really good taste. Excellent replacement for meat burguer.,5.0,positive,good,good,,high,,,FALSE,FALSE,really good,good,,"taste, texture, similarity",https://www.abillion.com/products/the-vegetarian-butcher-crispy-chickimicki-burger-10248651
Crispy chickimicki burgers,06/09/2021,ritadewi,That was so good ;) l will buy it again. It tastes like original chicken,5.0,positive,good,,,high,,,FALSE,FALSE,tastes like original chicken,,TRUE,"taste, similarity",https://www.abillion.com/products/the-vegetarian-butcher-crispy-chickimicki-burger-10248651
Crispy chickimicki burgers,16/02/2022,marta12,Deliciously delicious! This is the brand that Burger King uses (for those who don't know yet),5.0,positive,good,,,,,,FALSE,FALSE,good,,,taste,https://www.abillion.com/products/the-vegetarian-butcher-crispy-chickimicki-burger-10248651
Crispy chickimicki burgers,04/03/2022,danagambini,They are not the cheapest but they are very very delicious! They come 2 per box.,4.0,positive,good,,high,,,,FALSE,FALSE,delicious,,,"taste, price",https://www.abillion.com/products/the-vegetarian-butcher-crispy-chickimicki-burger-10248651
Crispy chickimicki burgers,01/03/2022,kaikaikai,The best vegan chicken burger so far. Unfortunately so expensive.,4.5,positive,,,high,,,,FALSE,FALSE,,,,price,https://www.abillion.com/products/the-vegetarian-butcher-crispy-chickimicki-burger-10248651
Crispy chickimicki burgers,27/11/2021,giadi91,"Good luck and easy to prepare, you can get a secure purchase!!!",5.0,positive,,,,,easy,,FALSE,FALSE,,,,cooking complexity,https://www.abillion.com/products/the-vegetarian-butcher-crispy-chickimicki-burger-10248651
Crispy chickimicki burgers,11/04/2022,veganningbetter,Very rich. I make it in the airfrayer and it is delicious,4.5,positive,good,,,,,,FALSE,FALSE,delicious,,,taste,https://www.abillion.com/products/the-vegetarian-butcher-crispy-chickimicki-burger-10248651
Crispy chickimicki burgers,05/03/2023,stefveg97,"Found them on discount and I'm so glad I decided to buy them cuz damnnn!!I loved them! Very crunchy and crispy on the outside even if you bake them in the oven. In fact, I wouldn't fry them tbh They released quite the amount of grease even though I baked them without adding any oil. I'll buy them again for sure!",5.0,positive,,good,,,,,FALSE,TRUE,,very crunchy and crispy on the outside. Greasy,TRUE,texture,https://www.abillion.com/products/the-vegetarian-butcher-crispy-chickimicki-burger-10248651
Crispy chickimicki burgers,07/01/2023,diogoeichert,"Tastes really good, with a high nutritional value. This is one of the best vegan patties I've eaten in a while.",4.5,positive,good,,,,,,FALSE,FALSE,really good,,,taste,https://www.abillion.com/products/the-vegetarian-butcher-crispy-chickimicki-burger-10248651
Crispy chickimicki burgers,19/12/2022,emmnms,One of the best vegan options in my opinion to substitute chicken ,5.0,positive,,,,high,,,FALSE,FALSE,,,,similarity,https://www.abillion.com/products/the-vegetarian-butcher-crispy-chickimicki-burger-10248651
Crispy chickimicki burgers,15/12/2022,val3ntina,Very reminiscent of chicken. You have to have dishes like this every now and then :),4.0,positive,,,,high,,,FALSE,FALSE,,,,,https://www.abillion.com/products/the-vegetarian-butcher-crispy-chickimicki-burger-10248651
little peckers,15/10/2022,fluffyfloofs,"While I think it looks great and feels great to bite into texture-wise, I think the taste kind of weirded me off, reminding me of the smell of pet food that i used to feed my rabbit and hamster. Personally feel that its not for me and there are better vegan alternatives out there.",3.5,negative,bad,good,,,,,TRUE,FALSE,reminds me of the smell of pet food,feels great to bite into texture-wise,FALSE,"taste, texture",https://www.abillion.com/products/the-vegetarian-butcher-little-peckers-10015655
little peckers,16/03/2021,gembean,Good flavour in these nuggets but a very firm unexpected texture! These nuggets are solid! Easy to prepare for a quick dinner!,4.0,positive,good,bad,,,easy,low,FALSE,TRUE,good flavour,a very firm unexpected texture,,"taste, texture, cooking complexity, cooking time",https://www.abillion.com/products/the-vegetarian-butcher-little-peckers-10015655
little peckers,01/01/2022,xandavegan,A good option for vegetable nuggets. I do it in the oven and they are still crispy.,3.5,positive,,good,,,,,FALSE,FALSE,,crispy,,texture,https://www.abillion.com/products/the-vegetarian-butcher-little-peckers-10015655
little peckers,28/03/2020,benzole,"Quite tasty - a bit chewy, but not bad. Goes well with sweet potato fries.",4.0,positive,good,bad,,,,,FALSE,TRUE,quite tasty,a bit chewy,,"taste, texture",https://www.abillion.com/products/the-vegetarian-butcher-little-peckers-10015655
little peckers,07/08/2021,alssa,taste really good and the breading is very crispy,5.0,positive,good,good,,,,,FALSE,FALSE,really good,the breading is very crispy,,"taste, texture",https://www.abillion.com/products/the-vegetarian-butcher-little-peckers-10015655
little peckers,17/09/2022,veganspicegal,Surprisingly amazing. One of the best i tried . Should try more from this brand,5.0,positive,,,,,,,FALSE,FALSE,,,,,https://www.abillion.com/products/the-vegetarian-butcher-little-peckers-10015655
little peckers,15/01/2022,biapol,Pretty nice nuggets - I pan fried them in a bit of oil. They havea nice bite to them.,4.0,positive,,good,,,,,FALSE,FALSE,,they have a nice bite to them,,texture,https://www.abillion.com/products/the-vegetarian-butcher-little-peckers-10015655
little peckers,18/01/2022,wei,"First time at vegan nuggets, not bad at all! I don’t think it’s comparable to the taste of the meat (soy is obvious) but they definitely got the texture, the crunch and the salt 100% down to a T. Pretty expensive, nearly 0.80¢ a nugget, but quite good in its own way!",5.0,positive,bad,good,high,low,,,TRUE,FALSE,I don’t think it’s comparable tothe taste of the meat (soy is obvious),"definitely got the texture, the crunch",,"taste, texture, price, similarity",https://www.abillion.com/products/the-vegetarian-butcher-little-peckers-10015655
little peckers,11/04/2022,wonderwombat,Got this free sample at Fairprice Xtra. Oven baked them for about 15 mins.The exterior was crispy and flaky while the insides had a soy taste and chewy texture. Not bad for quick snack. Gets a little salty when you pop 2 or 3 consecutively,3.0,neutral,bad,good,,,,,TRUE,TRUE,the inside has a soy taste. Gets a little salty when you pop 2 or 3 consecutively,the exterior was crispy and flaky while the inside has a chewy texure,,"taste, texture",https://www.abillion.com/products/the-vegetarian-butcher-little-peckers-10015655
little peckers,15/12/2021,superdupersumi,The outer coating is very crispy because of the cornflake coating. Taste is okay. I still prefer ALTN’s meat-free nuggets.,3.0,neutral,bad,good,,,,,FALSE,FALSE,taste is okay,the outer coating is very crispy,,"taste, texture",https://www.abillion.com/products/the-vegetarian-butcher-little-peckers-10015655
little peckers,2/12/2019,flobadob,"These are 'chicken' nuggets. The name is a little off putting. They're pretty average, nice enough but not as good as Fry's!",3.0,neutral,,,,,,,FALSE,FALSE,,,,,https://www.abillion.com/products/the-vegetarian-butcher-little-peckers-10015655
little peckers,02/05/2021,allywally,"Okayish nuggets, I've had lots better. Not my first choice, but it did the job.",3.0,neutral,,,,,,,FALSE,FALSE,,,,,https://www.abillion.com/products/the-vegetarian-butcher-little-peckers-10015655
little peckers,30/01/2023,unclenorton,Very easy to prepare but the batter has a weird artificial sweet taste that was just too strong to ignore,3.0,negative,bad,,,,easy,,TRUE,FALSE,it has a weird artificial sweet taste that was just too strong to ignore,,,"taste, cooking complexity",https://www.abillion.com/products/the-vegetarian-butcher-little-peckers-10015655
little peckers,15/12/2022,emilyu,These chicken nuggets made of soy are so delicious! They taste very realistic and would pass off as the real deal,5.0,positive,good,,,high,,,FALSE,FALSE,"delicious, the taste is very realistic",,,"taste, similarity",https://www.abillion.com/products/the-vegetarian-butcher-little-peckers-10015655
little peckers,27/10/2022,Cat,"While I usually find vegetarian butcher chicken quite tasty, these nuggets are mediocre. But they're nuggets so I wasn't expecting to be blown away ",3.0,negative,bad,,,,,,FALSE,FALSE,mediocre,,,taste,https://www.amazon.co.uk/Vegetarian-Butcher-Little-Peckers-180g/product-reviews/B093HN9MS8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
chickened out burger,26/11/2021,clap95,Mock chicken burger made in Germany,5.0,neutral,,,,,,,FALSE,FALSE,,,,,https://www.abillion.com/products/the-vegetarian-butcher-chickened-out-burger-10078296
chickened out burger,20/10/2020,annemarie,"I’d like to say that I love this brand, but I didn’t really like thisburger. Maybe I didn’t prepare it properly.. it was a bit dry in my opinion. However, I think I’ll give it another try in the future ",3.5,negative,,bad,,,,,FALSE,TRUE,,a bit dry,TRUE,texture,https://www.abillion.com/products/the-vegetarian-butcher-chickened-out-burger-10078296
chickened out burger,1/11/2020,holasoymylk,This was my first time trying one of their products and they didn't disappoint! Vegan chicken burgers are kinda hard to come across for some reason but this was super good! I do wish they labelled their vegetarian products a little more clearly tho so vegans don't accidentally grab them!,5.0,positive,good,,,,,,FALSE,FALSE,super good,,,taste,https://www.abillion.com/products/the-vegetarian-butcher-chickened-out-burger-10078296
chickened out burger,06/05/2022,misssedgwick,The juiciest chicken burger patty I’ve ever had! Perfectly tender texture. Mind blown!,4.5,positive,,good,,,,,FALSE,FALSE,,tender,,texture,https://www.abillion.com/products/the-vegetarian-butcher-chickened-out-burger-10078296
chickened out burger,02/08/2021,marujis,"Ugh, very good. Too much. They taste like Creole chorizo. My boyfriend, a carnivore, didn't notice the difference. The downside: they are too small, expensive, and from Unilever. I won't repeat it, but the flavor is amazing.",3.5,positive,good,,high,high,,,FALSE,FALSE,taste like chorizo,,,"taste, price, similarity",https://www.abillion.com/products/the-vegetarian-butcher-chickened-out-burger-10078296
chickened out burger,10/04/2021,nikki-cola,"Had these on a BBQ, went down really well with everyone, would buy again",4.5,positive,,,,,,,FALSE,FALSE,,,TRUE,,https://www.abillion.com/products/the-vegetarian-butcher-chickened-out-burger-10078296
chickened out burger,19/03/2020,theratspyjamas,Loved the taste and texture but as is often the case it was pricey for what it was. Would buy again if on offer. ,4.0,positive,good,good,high,,,,FALSE,FALSE,loved the taste,loved the texture,TRUE,"taste, texture, price",https://www.abillion.com/products/the-vegetarian-butcher-chickened-out-burger-10078296
chickened out burger,27/11/2022,marialorodrigues,"This ""chicken"" burger was good, however the texture was firmer than expected. Overall, a good product",4.0,positive,good,bad,,,,,FALSE,TRUE,good,firmer than expected,,"taste, texture",https://www.abillion.com/products/the-vegetarian-butcher-chickened-out-burger-10078296
chickened out burger,13/08/2020,felice,"(picture shows my finished dish using the patty as protein stripes). I was so pleasantly surprised by this burger pattie! It tastes perfect if you cut it in slices and eat it with a salad, very similar to chicken I'd say! Very well seasoned, no need to marinate although they looked so bland before frying them. I will buy these again for sure",4.0,positive,good,,,high,,,FALSE,FALSE,very well seasoned,,TRUE,"taste, similarity",https://www.abillion.com/products/the-vegetarian-butcher-chickened-out-burger-10078296
chickened out burger,28/12/2020,sarahmmortimer,Yumsa! These we’re my go-to in the summer for BBQs - load it up with smashed avocado and a drizzle of nandos garlic sauce and youre good to go my friends,5.0,positive,,,,,,,FALSE,FALSE,,,,,https://www.abillion.com/products/the-vegetarian-butcher-chickened-out-burger-10078296
chickened out burger,08/05/2021,sophielocha,"Looks a lot like a chicken steak, in taste and presentation, perfect for a burger. Unfortunately it contains palm oil!",3.0,positive,good,,,high,,,FALSE,FALSE,"Looks a lot like a chicken steak, in taste and presentation",,,"taste, similarity",https://www.abillion.com/products/the-vegetarian-butcher-chickened-out-burger-10078296
chickened out burger,09/05/2022,punxin,"Just like the nuggets of this brand, I bought this burger to try. I didn't love it either.",4.0,negative,,,,,,,FALSE,FALSE,,,,,https://www.abillion.com/products/the-vegetarian-butcher-chickened-out-burger-10078296
chickened out burger,22/03/2022,gaiasbb,"Very good burger, we ate with some vegetable side and really enjoyed the taste ofthe burgers",5.0,positive,good,,,,,,FALSE,FALSE,very good,,,taste,https://www.abillion.com/products/the-vegetarian-butcher-chickened-out-burger-10078296
chickened out burger,17/03/2021,gembean,"A nice enough burger, again like the nuggets a very firm texture. Not the best I've had but I'd eat again!",4.0,neutral,good,bad,,,,,FALSE,TRUE,nice enough,very firm texture,TRUE,"taste, texture",https://www.abillion.com/products/the-vegetarian-butcher-chickened-out-burger-10078296
chickened out burger,26/04/2022,merjh,"Two are coming. They are good for grilling, eating on bread or accompanying something else. Good flavor. Very similar to what a chicken burger would be without batter. Maybe something salty, or that's what it seemed to me. Overall, good.",4.0,positive,good,,,high,,,TRUE,FALSE,"good flavour, but salty",,,"taste, similarity",https://www.abillion.com/products/the-vegetarian-butcher-chickened-out-burger-10078296
chickened out burger,13/09/2021,addictedtopeas,"well, was a bit like jelly and like they tried to recreate cartilage tissue. tastewas okay but the consistency was so weird. I would not recommend it, especially for the prize.",3.0,negative,good,bad,high,,,,FALSE,TRUE,okay,"it was a bit like jelly and like they tried to recreate cartilage tissue, the consistency was so weird",FALSE,"taste, texture, price",https://www.abillion.com/products/the-vegetarian-butcher-chickened-out-burger-10078296
chickened out burger,31/08/2021,zitchy,Love this. There range is amazing but be careful not all of their products are vegan. Would thoroughly recommend these and what the cluck.,5.0,positive,,,,,,,FALSE,FALSE,,,,,https://www.abillion.com/products/the-vegetarian-butcher-chickened-out-burger-10078296
chickened out burger,03/06/2021,heartshpdbox,The consistency is great! I was hoping for a little more in terms of taste. It went down on the burger.,3.5,positive,bad,good,,,,,TRUE,FALSE,I was hoping for a little more in terms of taste.,great,,"taste, texture",https://www.abillion.com/products/the-vegetarian-butcher-chickened-out-burger-10078296
chickened out burger,06/08/2022,sam666,"It's an imitation chicken burger and the truth is that I think it's quite successful, it hits the spot and has a good flavor.",4.5,positive,good,,,high,,,FALSE,FALSE,good,,,"taste, similarity",https://www.abillion.com/products/the-vegetarian-butcher-chickened-out-burger-10078296
chickened out burger,10/04/2021,tina38,Mega delicious burger patty. I also think the addition of Vit B12 and iron is particularly great!,5.0,positive,good,,,,,,FALSE,FALSE,delicious,,,taste,https://www.abillion.com/products/the-vegetarian-butcher-chickened-out-burger-10078296
chickened out burger,01/01/2022,xandavegan,"Very good product. Tasty burger, that looks like chicken, without harming the poor animals.",3.5,positive,good,,,high,,,FALSE,FALSE,tasty,,,"taste, similarity",https://www.abillion.com/products/the-vegetarian-butcher-chickened-out-burger-10078296
chickened out burger,06/06/2022,masutil87,"They are not bad, but there is nothing to highlight either. One more option in the vegan burger offering",3.0,neutral,,,,,,,FALSE,FALSE,,,,,https://www.abillion.com/products/the-vegetarian-butcher-chickened-out-burger-10078296
chickened out burger,30/07/2020,carmarthensally,Thought this was pretty decent. Would probably buy it again. Tasty.,4.0,positive,good,,,,,,FALSE,FALSE,tasty,,TRUE,taste,https://www.abillion.com/products/the-vegetarian-butcher-chickened-out-burger-10078296
chickened out burger,10/01/2022,merysala,"Crispy chicken burger, super quick to make and very delicious",3.5,positive,good,good,,,,low,FALSE,FALSE,delicious,crispy,,"taste, texture, cooking time",https://www.abillion.com/products/the-vegetarian-butcher-chickened-out-burger-10078296
chickened out burger,21/11/2022,estherfe,"It is really delicious, with a similar texture and a brutal flavor",5.0,positive,good,good,,high,,,FALSE,FALSE,delicious,similar texture (to chicken),,"taste, texture, similarity",https://www.abillion.com/products/the-vegetarian-butcher-chickened-out-burger-10078296
chickened out burger,24/07/2021,nanoruru,"I grabbed them because they were there, it was a surprise and I had to try it. The flavor is quite neutral.",3.0,neutral,bad,,,,,,TRUE,FALSE,the taste was quite neutral,,,taste,https://www.abillion.com/products/the-vegetarian-butcher-chickened-out-burger-10078296
chickened out burger,11/04/2022,veganningbetter,It's very good. The texture is very similar to chicken and the flavor is very rich.,4.5,positive,good,good,,high,,,FALSE,FALSE,very rich,very similar to chicken,,"taste, texture, similarity",https://www.abillion.com/products/the-vegetarian-butcher-chickened-out-burger-10078296
chickened out burger,05/02/2023,saramost,Yummy vegan chicken burger. Quick to prepare and healthy.,5.0,positive,good,,,,,low,FALSE,FALSE,yummy,,,"taste, cooking time",https://www.abillion.com/products/the-vegetarian-butcher-chickened-out-burger-10078296
chickened out burger,03/03/2023,mrdonut,"Easy to cook patty , already seasoned so nothing else other than oil is required!",4.0,positive,good,,,,eassy,,FALSE,FALSE,already seasoned,,,"taste, cooking complexity",https://www.abillion.com/products/the-vegetarian-butcher-chickened-out-burger-10078296
chickened out burger,22/12/2022,fifi,"Great on old face, value for money!!!",5.0,positive,,,low,,,,FALSE,FALSE,,,,price,https://www.amazon.co.uk/Vegetarian-Butcher-Chickened-Chicken-Burger/dp/B093HPNMPN
chickened out burger,14/06/2021,@stillrustic,"Whilst I love a beef or lamb burger i've never been convinced by the texture of ""real"" chicken burgers - they tend to be dry and lack flavour. This was a more than ideal substitute - with some bite, pretty moist and a reasonable flavour (helped by chipotle mayo and gherkins). I'd buy it again.",5.0,positive,good,good,,high,,,FALSE,FALSE,reasonable flavour,pretty moist,TRUE,"taste, texture, similarity",https://www.amazon.co.uk/Vegetarian-Butcher-Chickened-Chicken-Burger/dp/B093HPNMPN
chickened out burger,3/10/2021,nathan,"At first glance, they looked honestly disgusting, but I gave them a chance and cooked them, they taste amazing. I wouldn't say identical to chicken but still definitely worth trying.",5.0,positive,good,,,low,,,FALSE,FALSE,amazing,,,"taste, similarity",https://www.amazon.co.uk/Vegetarian-Butcher-Chickened-Chicken-Burger/dp/B093HPNMPN
chickened out burger,05/07/2022,mabh savage,We used this instead of chicken breast in a taco recipe and the flavour was great but the pieces are very tough.,4.0,neutral,good,bad,,,,,FALSE,TRUE,great,the pieces are very tough,,"taste, texture",https://www.amazon.co.uk/Vegetarian-Butcher-Chickened-Chicken-Burger/dp/B093HPNMPN
chickened out burger,15/11/2021,,Really good,5.0,positive,good,,,,,,FALSE,FALSE,really good,,,taste,https://www.amazon.co.uk/Vegetarian-Butcher-Chickened-Chicken-Burger/dp/B093HPNMPN
chickened out burger,04/04/2022,carlos garcia,"Most of the vegan foods are tasteless, but this tastes really good, meaty and the best is that it's 100% animal friendly",5.0,positive,good,good,,high,,,FALSE,FALSE,really good,meaty,,"taste, texture",https://www.amazon.co.uk/Vegetarian-Butcher-Chickened-Chicken-Burger/dp/B093HPNMPN
chickened out burger,05/08/2022,sophie bywater,Nice but wish they were a bit cheaper,5.0,positive,good,,high,,,,FALSE,FALSE,nice,,,"taste, price",https://www.amazon.co.uk/Vegetarian-Butcher-Chickened-Chicken-Burger/dp/B093HPNMPN